[INFO ] [2017-09-18 03:01:55] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:01:55] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:01:55] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:01:56] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:01:56] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:01:57] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:01:58] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:01:58] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:01:58] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:01:59] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:02:14] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:02:17] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:02:17] file: GmailHomePage.java, class: com.epam.lab.seleniumframework.pageobjects.GmailHomePage, method: isLoggedIn, line: 63, msg: User successfully logged in
[INFO ] [2017-09-18 03:02:17] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:02:17] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:02:17] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:02:26] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:02:27] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:02:27] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:02:27] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: gotToURL, line: 47, msg: Navigating to https://www.google.com/intl/ua/gmail/about/ 
[INFO ] [2017-09-18 03:02:32] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: gotToURL, line: 47, msg: Navigating to https://accounts.google.com/AccountChooser?service=mail&continue=https://mail.google.com/mail/ 
[INFO ] [2017-09-18 03:02:34] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: quit, line: 41, msg: Quiting browser
[INFO ] [2017-09-18 03:04:30] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 23, msg: Create instance
[INFO ] [2017-09-18 03:04:32] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:04:32] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: gotToURL, line: 47, msg: Navigating to https://www.google.com/intl/ua/gmail/about/ 
[INFO ] [2017-09-18 03:04:37] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: gotToURL, line: 47, msg: Navigating to https://accounts.google.com/AccountChooser?service=mail&continue=https://mail.google.com/mail/ 
[INFO ] [2017-09-18 03:04:41] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:04:41] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
